priority,expected_input,dataset_label,input_group,recommended_action,source_of_truth,producer_script,producer_command,precheck_required,acceptance_gate,lineage_manifest_required,row_fabrication_policy,on_failure,output_path
1,data/staging/processed/pr_contracts_master.csv,contracts,core,Run normalization + dedup pipeline to produce contracts master,USASpending/FPDS normalized expansion files,scripts/deduplicate_master.py,python scripts/deduplicate_master.py,normalized_expansion_*.csv available in data/staging/processed,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_contracts_master.csv
2,data/staging/processed/pr_grants_master.csv,grants,canonical_master,Run USAspending grants ingestion,USASpending assistance/grants APIs,scripts/download_grants.py,python scripts/download_grants.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_grants_master.csv
3,data/staging/processed/pr_subawards_master.csv,subawards,canonical_master,Run FSRS/subawards ingestion pipeline,FSRS/Subawards feeds,scripts/download_subawards.py,python scripts/download_subawards.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_subawards_master.csv
4,data/staging/processed/pr_fema_pa_master.csv,fema_pa,canonical_master,Run FEMA PA ingestion,OpenFEMA Public Assistance datasets,scripts/download_fema.py,python scripts/download_fema.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_fema_pa_master.csv
5,data/staging/processed/pr_fema_hmgp_master.csv,fema_hmgp,canonical_master,Run FEMA HMGP ingestion,OpenFEMA HMGP datasets,scripts/download_fema.py,python scripts/download_fema.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_fema_hmgp_master.csv
6,data/staging/processed/pr_research_master.csv,research,canonical_master,Recover or download source input for dataset 'research',Federal research award sources,scripts/download_research.py,python scripts/download_research.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_research_master.csv
7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,canonical_master,Run SBA loans ingestion,SBA disaster/business loan datasets,scripts/download_sba.py,python scripts/download_sba.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_sba_loans_master.csv
8,data/staging/processed/pr_slfrf_master.csv,slfrf,canonical_master,Recover or download source input for dataset 'slfrf',Treasury SLFRF recipient project files,scripts/download_slfrf.py,python scripts/download_slfrf.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_slfrf_master.csv
9,data/staging/processed/pr_cdbg_dr_master.csv,cdbg_dr,canonical_master,Run HUD/CDBG-DR ingestion,HUD CDBG-DR / DRGR exports,scripts/download_cdbg_dr.py,python scripts/download_cdbg_dr.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_cdbg_dr_master.csv
10,data/staging/processed/pr_dot_master.csv,dot,canonical_master,Run DOT ingestion,DOT award datasets,scripts/download_dot.py,python scripts/download_dot.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_dot_master.csv
11,data/staging/processed/pr_usda_master.csv,usda,canonical_master,Run USDA ingestion,USDA award datasets,scripts/download_usda.py,python scripts/download_usda.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_usda_master.csv
12,data/staging/processed/pr_doe_master.csv,doe,canonical_master,Run DOE ingestion,DOE award datasets,scripts/download_doe.py,python scripts/download_doe.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_doe_master.csv
13,data/staging/processed/pr_hud_master.csv,hud,canonical_master,Run HUD ingestion,HUD federal award datasets,scripts/download_hud.py,python scripts/download_hud.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_hud_master.csv
14,data/staging/processed/pr_sbir_master.csv,sbir,canonical_master,Run SBIR ingestion,SBIR/STTR award datasets,scripts/download_sbir.py,python scripts/download_sbir.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_sbir_master.csv
15,data/staging/processed/pr_epa_master.csv,epa,canonical_master,Run EPA ingestion,EPA award datasets,scripts/download_epa.py,python scripts/download_epa.py --force,raw/staging source files present OR downloader credentials configured,file_exists AND rows>0 AND canonical_columns_present AND lineage_manifest_present,True,FORBIDDEN_NO_SYNTHETIC_ROWS,append_to_manual_source_download_queue_and_block_downstream,data/staging/processed/pr_epa_master.csv
