path,category,imports_from,imported_by,output_files,keep_merge_archive_delete,reason
contract_sweeper/__init__.py,UTILITY,,,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/__init__.py,VALIDATE,,,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/acquisition_package.py,VALIDATE,,contract_sweeper/pipeline/credential_unblock_plan.py;contract_sweeper/pipeline/external_blocker_freeze.py;contract_sweeper/pipeline/external_source_delivery_gate.py;contract_sweeper/pipeline/final_backfill_retry.py;contract_sweeper/pipeline/final_source_recovery_pass.py…,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/backfill_failure_remediation.py,ORCHESTRATE,contract_sweeper.pipeline.schema_remediation,scripts/run_backfill_failure_remediation_r48c.py;tests/test_backfill_failure_remediation_r48c.py,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/backfill_readiness_audit.py,VALIDATE,,scripts/run_backfill_readiness_audit_r48a.py;tests/test_backfill_readiness_audit_r48a.py,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/backfill_runner.py,ORCHESTRATE,contract_sweeper.pipeline.import_slots,scripts/run_backfill_runner_r47.py;tests/test_backfill_runner_r47.py,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/completion_gate.py,VALIDATE,,contract_sweeper/pipeline/external_blocker_freeze.py,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/controlled_backfill.py,ORCHESTRATE,contract_sweeper.pipeline.manual_import_validation;contract_sweeper.pipeline.source_manifest_writer,scripts/run_controlled_backfill_r48.py;tests/test_controlled_backfill_r48.py,,KEEP,"Unique logic, active imports, or tested"
contract_sweeper/pipeline/controlled_backfill_execution.py,ORCHESTRATE,,scripts/run_controlled_backfill_execution_r48b.py;tests/test_controlled_backfill_execution_r48b.py,,KEEP,"Unique logic, active imports, or tested"
archive/r4_legacy/contract_sweeper/pipeline/credential_unblock_plan.py,VALIDATE,contract_sweeper.pipeline.acquisition_package,scripts/run_acquisition_package_r48g.py,,ARCHIVED,PR-G: archived 2026-05-18
