priority,expected_input,source_family,producer_script,error_type,stderr_excerpt_safe,timeout_seconds,recommended_patch,next_action
1,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,scripts/deduplicate_master.py,no_data,target output not produced,,Verify upstream dependencies and fail-closed when prerequisite source files are missing.,retry_after_fix
2,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,scripts/download_grants.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
3,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,scripts/download_subawards.py,producer_exception,command failed with exit code 1,,"Patch script exception path, validate output path creation, and return explicit failure diagnostics.",patch_producer_script
4,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,scripts/download_fema.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
5,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,scripts/download_fema.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
6,data/staging/processed/pr_research_master.csv,federal_research,scripts/download_research.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
7,data/staging/processed/pr_sba_loans_master.csv,sba_loans,scripts/download_sba.py,producer_exception,command failed with exit code 1,,"Patch script exception path, validate output path creation, and return explicit failure diagnostics.",patch_producer_script
9,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,scripts/download_cdbg_dr.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
14,data/staging/processed/pr_sbir_master.csv,federal_sectoral_sbir,scripts/download_sbir.py,producer_exception,command failed with exit code 1,,"Patch script exception path, validate output path creation, and return explicit failure diagnostics.",patch_producer_script
16,data/staging/processed/pr_usace_civil_master.csv,federal_sectoral_usace,scripts/download_usace_civil.py,producer_exception,command failed with exit code 1,,"Patch script exception path, validate output path creation, and return explicit failure diagnostics.",patch_producer_script
18,data/staging/expansion/expansion_idv_indirect_pr.csv,usaspending_federal_awards_backbone,scripts/auto_download.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
19,data/staging/expansion/expansion_dod_upr_2001_2015.csv,usaspending_federal_awards_backbone,scripts/auto_download.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
20,data/staging/expansion/expansion_dod_upr_2016_2025.csv,usaspending_federal_awards_backbone,scripts/auto_download.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
21,data/staging/expansion/expansion_reconstruction_2017_2025.csv,usaspending_federal_awards_backbone,scripts/auto_download.py,endpoint_unavailable,command timed out after 20s,20,Review endpoint availability/rate limits; add bounded retry budget and explicit endpoint health diagnostics.,endpoint_review
