source_id,required,family,update_cadence,authentication,required_secret,trigger_type,terminal,path_type,automatable,ready,needs_key,has_adapter,producer_importable,producer_script,expected_outputs_count,outputs_present_count,min_rows,dropzone_path,recommended_action
chip,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_chip.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
cms_open_payments,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_cms.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
doe_grants,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_doe.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
doj_grants,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_doj_grants.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
dot_grants,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_dot.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
ed_grants,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_ed.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
epa_grants,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_epa.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
exim_bank,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_exim.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fdic,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_fdic.py,2,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fec,True,political_finance,monthly,api_key:FEC_API_KEY,FEC_API_KEY,schedule,False,api_adapter,True,True,FEC_API_KEY,True,True,scripts/download_fec.py,1,1,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fema_hmgp,False,federal,monthly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_fema.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fema_pa_openfema_v2,True,federal,monthly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_openfema_pa_projects.py,1,1,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fhlb,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_fhlb.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
grants_gov,False,federal,weekly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_grants.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
haf,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_haf.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
hhs_grants,False,federal,quarterly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_hhs.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
highergov_supplemental,False,federal,weekly,api_key:HIGHERGOV_API_KEY,HIGHERGOV_API_KEY,schedule,False,api_adapter,True,True,HIGHERGOV_API_KEY,True,True,scripts/fetch_highergov_api.py,2,1,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
hud_hcv_section8,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_hud_hcv.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
lda,True,lobbying,monthly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/sources/fetch_lda_gov.py,14,14,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
medicaid_fmap,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_medicaid_fmap.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
medicare_advantage,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_medicare_advantage.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
medicare_parts,False,federal,yearly,none,,schedule,False,api_adapter,True,True,,True,True,scripts/download_medicare_parts.py,1,0,1,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
