source_id,family,required,authentication,producer_script,script_present,expected_output_count,expected_output_status,has_canonical_manifest,endpoint_url,update_cadence,notes
usaspending_prime,federal,True,none,scripts/build_unified_master.py,True,2,present;present,False,https://api.usaspending.gov/,weekly,USAspending API + bulk archive. No key required.
usaspending_subawards,federal,True,none,scripts/download_subawards.py,True,2,present;missing,False,https://www.usaspending.gov/download_center/award_data_archive,weekly,
fpds_report_builder,federal,False,none,scripts/download_grants.py,True,1,missing,False,https://www.fpds.gov/fpdsng_cms/index.php/en/reports.html,quarterly,FPDS Report Builder FY2018-2024 ingestion. Supplements USAspending.
fsrs_subawards,federal,True,none,scripts/download_fsrs.py,True,1,missing,False,https://www.fsrs.gov/,weekly,FSRS prime-to-sub reporting. Joins with USAspending subaward stream.
sam_entities,entity_resolution,True,api_key:SAM_API_KEY,scripts/sam_enrichment.py,True,2,present;missing,False,https://sam.gov/data-services/Entity%20Information,monthly,SAM full extract + per-UEI enrichment for parent resolution.
highergov_supplemental,federal,False,api_key:HGOV_API_KEY,scripts/fetch_highergov_api.py,True,2,present;missing,False,https://www.highergov.com/api,weekly,Supplementary federal contract intel via HigherGov. PDFs require parse_highergov_pdfs.
fema_pa_openfema_v2,federal,True,none,scripts/download_openfema_pa_projects.py,True,1,present,False,https://www.fema.gov/openfema-data-page/public-assistance-funded-projects-details-v2,monthly,Preferred FEMA PA route. OpenFEMA v2 PA projects API.
fema_hmgp,federal,False,none,scripts/download_fema.py,True,1,missing,False,https://www.fema.gov/openfema-data-page/hazard-mitigation-grant-program-disaster-summaries-v2,monthly,
cor3,territorial,True,none,scripts/download_cor3.py,True,1,missing,False,https://recovery.pr.gov/,quarterly,"PR Central Office for Recovery, Reconstruction and Resiliency project tracker."
hud_cdbg_dr_public,federal,True,none,scripts/download_cdbg_dr.py,True,1,present,False,https://www.hud.gov/program_offices/comm_planning/cdbg-dr,quarterly,
hud_drgr_authorized,manual_export,True,manual_export,scripts/ingest_hud_drgr_exports.py,True,2,missing;missing,False,https://drgr.hud.gov/,monthly,Credentialed DRGR portal — operator must export and drop manifests in manual_drop_dir.
hud_hcv_section8,federal,False,none,scripts/download_hud_hcv.py,True,1,missing,False,https://www.huduser.gov/portal/datasets/assthsg.html,yearly,
prasa,infrastructure,True,none,scripts/ingest_prasa.py,True,2,missing;missing,False,https://www.acueductospr.com/,yearly,PRASA aqueduct/sewer authority. Includes Consulting Engineer Report FY2024 baseline.
prepa_luma_genera,infrastructure,False,none,scripts/download_prepa_contracts.py,True,1,missing,False,https://aeepr.com/es-pr/,quarterly,PREPA / LUMA Energy / Genera PR contracts and operating data.
act_transition_contracts,manual_export,False,manual_export,scripts/ingest_active_contractors.py,True,1,missing,False,,ad_hoc,"PR ACT transition contract files (Autopistas, Ferrovial, LPC&D, etc.). Manual export."
acuden_2024_transition,manual_export,False,manual_export,scripts/ingest_active_contractors.py,True,1,missing,False,,ad_hoc,ACUDEN 2024 transition contract file. Transfer-of-funds contracts to municipalities/daycare/nonprofits.
dcaa_active_contractors,manual_export,False,manual_export,scripts/download_active_contractors.py,True,1,missing,False,,ad_hoc,DCAA FY2007/FY2012/FY2013 active contractor listings. Alias/crosswalk source.
oficina_contralor,territorial,True,none,scripts/ingest_contralor.py,True,1,missing,False,https://consultacontratos.ocpr.gov.pr/,monthly,PR Comptroller contract registry. Authoritative for territorial contracts.
compras_pr,territorial,False,none,scripts/download_compras.py,True,1,missing,False,https://www.comprashpr.com/,weekly,comprashpr.com RFP / award scrape.
aafaf,territorial,False,none,scripts/download_aafaf.py,True,1,missing,False,https://www.aafaf.pr.gov/,monthly,PR Fiscal Agency & Financial Advisory Authority. Budget execution.
hacienda,territorial,False,none,scripts/download_hacienda.py,True,1,missing,False,https://hacienda.pr.gov/,monthly,
cofina,territorial,False,none,scripts/download_cofina.py,True,1,missing,False,https://www.cofina.pr.gov/,quarterly,
promesa_creditors,territorial,False,none,scripts/download_promesa_creditors.py,True,1,missing,False,https://cases.ra.kroll.com/puertorico/,ad_hoc,
pr_act_60_decrees,territorial,False,none,scripts/download_act60.py,True,1,missing,False,https://www.ddec.pr.gov/,yearly,
p3_authority,territorial,False,none,scripts/download_p3.py,True,1,missing,False,https://www.p3.pr.gov/,quarterly,
pr_pensions,territorial,False,none,scripts/download_pr_pensions.py,True,1,missing,False,https://www.retiro.pr.gov/,yearly,
rum_cover_over,territorial,False,none,scripts/download_rum_coverover.py,True,1,missing,False,https://home.treasury.gov/about/offices/economic-policy/territorial-tax-rebate,yearly,
municipal_finance,municipal,False,none,scripts/download_municipal.py,True,1,missing,False,https://www.ocam.pr.gov/,yearly,
eqb_epa_icis,territorial,False,none,scripts/download_eqb.py,True,1,missing,False,https://echo.epa.gov/,monthly,PR Environmental Quality Board + EPA ICIS environmental permits.
emma_bonds,bonds,True,none,scripts/download_emma.py,True,2,present;missing,False,https://emma.msrb.org/,weekly,
msrb_rtrs_trades,bonds,False,none,scripts/download_msrb_trades.py,True,1,missing,False,https://emma.msrb.org/,monthly,
lda,lobbying,True,api_key:LDA_API_KEY,scripts/download_lda.py,True,1,present,False,https://lda.senate.gov/api/v1/,monthly,
pr_cabilderos,lobbying,True,none,scripts/ingest_cabilderos.py,True,1,missing,False,https://etica.pr.gov/cabilderos/,quarterly,
fec,political_finance,True,api_key:FEC_API_KEY,scripts/download_fec.py,True,2,present;present,False,https://api.open.fec.gov/,monthly,
donaciones_pr,political_finance,False,none,scripts/ingest_fec.py,True,1,missing,False,https://www.ceepur.org/,ad_hoc,PR State Election Commission donations. Cross-references federal FEC.
follow_the_money,political_finance,False,none,scripts/ingest_follow_the_money.py,True,1,missing,False,https://www.followthemoney.org/,yearly,State-level campaign finance for PR + DC connections.
sba_loans,federal,False,none,scripts/download_sba.py,True,1,missing,False,https://www.sba.gov/document/report-sba-loan-data-tools,quarterly,
sba_ppp,federal,False,none,scripts/download_sba.py,True,1,missing,False,https://data.sba.gov/dataset/ppp-foia,yearly,
slfrf,federal,False,none,scripts/download_slfrf.py,True,1,present,False,https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/state-and-local-fiscal-recovery-funds,quarterly,
sbir,federal,False,none,scripts/download_sbir.py,True,1,missing,False,https://www.sbir.gov/,monthly,
nih_reporter,federal,False,none,scripts/download_nih.py,True,1,missing,False,https://api.reporter.nih.gov/,monthly,
usace_civil_works,federal,False,none,scripts/download_usace_civil.py,True,1,missing,False,https://www.usace.army.mil/Missions/Civil-Works/,quarterly,
usace_permits,federal,False,none,scripts/download_usace_permits.py,True,1,missing,False,https://permits.ops.usace.army.mil/orm-public,quarterly,
epa_grants,federal,False,none,scripts/download_epa.py,True,1,missing,False,https://www.epa.gov/grants,quarterly,
dot_grants,federal,False,none,scripts/download_dot.py,True,1,missing,False,https://www.transportation.gov/grants,quarterly,
usda_grants,federal,False,none,scripts/download_usda.py,True,1,missing,False,https://www.usda.gov/topics/farming/grants-and-loans,quarterly,
doe_grants,federal,False,none,scripts/download_doe.py,True,1,missing,False,https://www.energy.gov/eere/funding/funding-opportunities,quarterly,
doj_grants,federal,False,none,scripts/download_doj_grants.py,True,1,missing,False,https://www.justice.gov/grants,quarterly,
ed_grants,federal,False,none,scripts/download_ed.py,True,1,missing,False,https://www2.ed.gov/programs/find/title/index.html,quarterly,
hhs_grants,federal,False,none,scripts/download_hhs.py,True,1,missing,False,https://www.hhs.gov/grants/,quarterly,
oia_grants,federal,False,none,scripts/download_oia.py,True,1,missing,False,https://www.doi.gov/oia,yearly,
haf,federal,False,none,scripts/download_haf.py,True,1,missing,False,https://home.treasury.gov/policy-issues/coronavirus/assistance-for-state-local-and-tribal-governments/homeowner-assistance-fund,quarterly,
exim_bank,federal,False,none,scripts/download_exim.py,True,1,missing,False,https://www.exim.gov/,yearly,
congressional_earmarks,federal,False,none,scripts/download_earmarks.py,True,1,present,False,https://www.appropriations.house.gov/,yearly,
ofac_sdn,entity_resolution,False,none,scripts/download_ofac.py,True,1,missing,False,https://www.treasury.gov/ofac/downloads/sdn.csv,weekly,
