source_id,family,required,authentication,expected_output_count,present_count,local_rows,local_status,materiality_tier,first_expected_output
usaspending_prime,federal,True,none,2,2,606943,fully_materialized,bulk,data/staging/processed/pr_contracts_master.csv
grants_gov,federal,False,none,1,1,461668,fully_materialized,bulk,data/staging/processed/pr_grants_master.csv
fema_pa_openfema_v2,federal,True,none,1,1,21868,fully_materialized,bulk,data/staging/processed/pr_fema_pa_master.csv
ofac_sdn,entity_resolution,False,none,1,1,19050,fully_materialized,bulk,data/staging/processed/pr_ofac_sdn.csv
lda,lobbying,True,none,14,14,17634,fully_materialized,bulk,data/staging/processed/lda_registrants.csv
fec,political_finance,True,api_key:FEC_API_KEY,1,1,16637,fully_materialized,bulk,data/staging/processed/pr_fec_contributions.csv
hud_cdbg_dr_public,federal,True,none,1,1,7700,fully_materialized,bulk,data/staging/processed/pr_cdbg_dr_master.csv
usaspending_subawards,federal,True,none,2,2,7125,fully_materialized,bulk,data/staging/processed/pr_subawards_master.csv
fsrs_subawards,federal,True,none,1,1,7122,fully_materialized,bulk,data/staging/processed/pr_fsrs_subawards.csv
research_grants,federal,False,none,1,1,4946,fully_materialized,bulk,data/staging/processed/pr_research_master.csv
fred_timeseries,federal,False,api_key:FRED_API_KEY,1,1,2131,fully_materialized,bulk,data/staging/processed/pr_fred_timeseries.csv
fdic,federal,False,none,2,2,2130,fully_materialized,bulk,data/staging/processed/pr_fdic_financials.csv
follow_the_money,political_finance,False,manual_export,3,3,1497,fully_materialized,bulk,data/staging/processed/pr_sf133_budget_execution.csv
usda_grants,federal,False,none,1,1,688,fully_materialized,moderate,data/staging/processed/pr_usda_master.csv
epa_grants,federal,False,none,1,1,631,fully_materialized,moderate,data/staging/processed/pr_epa_master.csv
eia_power_sector,federal,False,api_key:EIA_API_KEY,1,1,615,fully_materialized,moderate,data/staging/processed/pr_eia_power_sector.csv
gleif_lei,entity_resolution,False,none,2,2,567,fully_materialized,moderate,data/staging/processed/pr_gleif_entities.csv
wioa,federal,False,none,1,1,444,fully_materialized,moderate,data/staging/processed/pr_wioa_grants.csv
doj_grants,federal,False,none,1,1,419,fully_materialized,moderate,data/staging/processed/pr_doj_grants_master.csv
ed_grants,federal,False,none,1,1,379,fully_materialized,moderate,data/staging/processed/pr_ed_master.csv
dot_grants,federal,False,none,1,1,376,fully_materialized,moderate,data/staging/processed/pr_dot_master.csv
oia_grants,federal,False,none,1,1,364,fully_materialized,moderate,data/staging/processed/pr_oia_master.csv
hhs_grants,federal,False,none,1,1,307,fully_materialized,moderate,data/staging/processed/pr_hhs_master.csv
slfrf,federal,False,none,1,1,200,fully_materialized,moderate,data/staging/processed/pr_slfrf_master.csv
doe_grants,federal,False,none,1,1,180,fully_materialized,moderate,data/staging/processed/pr_doe_master.csv
sec_edgar,federal,False,none,2,2,171,fully_materialized,moderate,data/staging/processed/pr_sec_companies.csv
nih_reporter,federal,False,none,1,1,103,fully_materialized,moderate,data/staging/processed/pr_nih_grants.csv
medicaid_fmap,federal,False,none,1,1,89,fully_materialized,moderate,data/staging/processed/pr_medicaid_fmap.csv
