event_date,event_type,title,related_entity,claim,evidence_tier
2016-06-30,legislation,PROMESA enacted,,"U.S. Congress enacted PROMESA (Puerto Rico Oversight, Management, and Economic Stability Act), Pub. L. 114-187, establishing a federal oversight board and Title III debt-restructuring process.",T1
2016-08-31,oversight_board,FOMB members appointed,Financial Oversight and Management Board for Puerto Rico,"The seven members of the Financial Oversight and Management Board for Puerto Rico were appointed under PROMESA.",T1
2017-05-03,title_iii_filing,Commonwealth Title III petition filed,Commonwealth of Puerto Rico,"The Oversight Board filed a Title III petition for the Commonwealth of Puerto Rico in the U.S. District Court for the District of Puerto Rico.",T1
2017-05-21,title_iii_filing,COFINA Title III petition filed,Puerto Rico Sales Tax Financing Corporation,"The Oversight Board filed a Title III petition for COFINA (Puerto Rico Sales Tax Financing Corporation).",T1
2017-07-02,title_iii_filing,PREPA Title III petition filed,Puerto Rico Electric Power Authority,"The Oversight Board filed a Title III petition for the Puerto Rico Electric Power Authority (PREPA).",T1
2017-09-20,disaster,Hurricane Maria landfall,Commonwealth of Puerto Rico,"Hurricane Maria made landfall in Puerto Rico, deepening the fiscal, infrastructure, and debt-restructuring crisis.",T1
2019-02-04,plan_of_adjustment,COFINA Plan of Adjustment confirmed,Puerto Rico Sales Tax Financing Corporation,"The Title III court confirmed COFINA's Plan of Adjustment, restructuring roughly $17.6 billion of sales-tax-backed debt.",T1
2019-05-03,restructuring,PREPA Restructuring Support Agreement advanced,Puerto Rico Electric Power Authority,"PREPA and certain bondholders advanced a Restructuring Support Agreement for PREPA's outstanding revenue bonds.",T2
2021-06-01,operations,LUMA Energy assumes PREPA transmission and distribution,Puerto Rico Electric Power Authority,"LUMA Energy assumed operation of PREPA's transmission and distribution system under a public-private partnership agreement.",T1
2022-01-18,plan_of_adjustment,Commonwealth Plan of Adjustment effective,Commonwealth of Puerto Rico,"The Commonwealth's Plan of Adjustment became effective, restructuring roughly $33 billion of liabilities and cutting about $22 billion of debt.",T1
2022-12-16,plan_of_adjustment,HTA Plan of Adjustment confirmed,Puerto Rico Highways and Transportation Authority,"The Title III court confirmed the Plan of Adjustment for the Puerto Rico Highways and Transportation Authority (HTA).",T2
2023-07-01,operations,Genera PR assumes PREPA generation,Puerto Rico Electric Power Authority,"Genera PR assumed operation of PREPA's legacy power-generation fleet under a public-private partnership agreement.",T1
