expected_input,source_family,blocker_class,target_dropzone_path,target_output_path,accepted_filename_patterns,required_columns,validation_command,unfreeze_condition,reason_blocked
data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,manual_file_required,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,pr_contracts_master.csv|pr_contracts_master*.csv|*.csv,contract_id|vendor_name|agency_name|award_date|obligated_amount|pop_state|source_file|fiscal_year,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_contracts_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='contract_id,vendor_name,agency_name,award_date,obligated_amount,pop_state,source_file,fiscal_year'.split(',') if 'contract_id,vendor_name,agency_name,award_date,obligated_amount,pop_state,source_file,fiscal_year' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""","Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_contracts_master.csv, validate schema/rows, and stage to data/staging/processed/pr_contracts_master.csv.",file_not_delivered
data/staging/processed/pr_doe_master.csv,federal_sectoral_doe,physical_validated_file_missing,,data/staging/processed/pr_doe_master.csv,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_doe_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",Deliver the physical validated source file for data/staging/processed/pr_doe_master.csv with matching manifest-compatible hash and nonzero rows.,file_not_delivered
data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,manual_file_required,data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,pr_grants_master.csv|pr_grants_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_grants_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""","Provide the required manual source file under data/manual_import_dropzone/r4_8e/usaspending_federal_awards_backbone/pr_grants_master.csv, validate schema/rows, and stage to data/staging/processed/pr_grants_master.csv.",file_not_delivered
data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,physical_validated_file_missing,,data/staging/processed/pr_dot_master.csv,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_dot_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",Deliver the physical validated source file for data/staging/processed/pr_dot_master.csv with matching manifest-compatible hash and nonzero rows.,file_not_delivered
data/staging/processed/pr_subawards_master.csv,fsrs_subawards,manual_file_required,data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,pr_subawards_master.csv|pr_subawards_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_subawards_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""","Provide the required manual source file under data/manual_import_dropzone/r4_8e/fsrs_subawards/pr_subawards_master.csv, validate schema/rows, and stage to data/staging/processed/pr_subawards_master.csv.",file_not_delivered
data/staging/processed/pr_epa_master.csv,federal_sectoral_epa,physical_validated_file_missing,,data/staging/processed/pr_epa_master.csv,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_epa_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",Deliver the physical validated source file for data/staging/processed/pr_epa_master.csv with matching manifest-compatible hash and nonzero rows.,file_not_delivered
data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,manual_file_required,data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,pr_fema_pa_master.csv|pr_fema_pa_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_fema_pa_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""","Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_pa_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_pa_master.csv.",file_not_delivered
data/staging/processed/pr_hud_master.csv,hud_cdbg,physical_validated_file_missing,,data/staging/processed/pr_hud_master.csv,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_hud_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",Deliver the physical validated source file for data/staging/processed/pr_hud_master.csv with matching manifest-compatible hash and nonzero rows.,file_not_delivered
data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,manual_file_required,data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,pr_fema_hmgp_master.csv|pr_fema_hmgp_master*.csv|*.csv,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_fema_hmgp_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""","Provide the required manual source file under data/manual_import_dropzone/r4_8e/fema_pa_hmgp/pr_fema_hmgp_master.csv, validate schema/rows, and stage to data/staging/processed/pr_fema_hmgp_master.csv.",file_not_delivered
data/staging/processed/pr_slfrf_master.csv,slfrf,physical_validated_file_missing,,data/staging/processed/pr_slfrf_master.csv,,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,"python -c ""import pandas as pd; from pathlib import Path; p=Path('data/staging/processed/pr_slfrf_master.csv'); assert p.exists(), 'missing output'; df=pd.read_csv(p,dtype=str,low_memory=False); assert len(df)>0, 'empty output'; req='award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode'.split(',') if 'award_id,recipient_name,recipient_name_normalized,recipient_uei,awarding_agency,awarding_sub_agency,obligated_amount,award_date,fiscal_year,pop_state,pop_county,description,source_file,source_dataset,award_category,source_system,source_record_id,source_lineage_path,source_lineage_mode' else []; missing=[c for c in req if c and c not in df.columns]; assert not missing, f'missing columns: {missing}'; print('rows',len(df))""",Deliver the physical validated source file for data/staging/processed/pr_slfrf_master.csv with matching manifest-compatible hash and nonzero rows.,file_not_delivered
