filename,theme,title,source_hint,file_size_bytes,sha256,original_name
audits/Audit of SBA's Cooperative Agreement With Arsenal Business and Technology Partnership's Veterans Business Outreach Center.pdf,audits,Audit of SBA's Cooperative Agreement With Arsenal Business and Technology Partnership's Veterans Business Outreach Center,SBA OIG,690251,b506e4a392613c567819567c073d8dc02bba92f092600edfbeda4f638ab19549,Audit of SBA's Cooperative Agreement With Arsenal Business and Technology\nPartnership's Veterans Business\nOutreach Center.pdf
congressional_research/13th-Congressional-Report-on-PR-Economic-and-Disaster-Recovery-Plan_20250701T172302.682Z.pdf,congressional_research,13th-Congressional-Report-on-PR-Economic-and-Disaster-Recovery-Plan_20250701T172302.682Z,,3915606,0ae85fa4a3caeb4b17013b3d26fc21abb29f96cb6eb526898b2b715db2bead97,13th-Congressional-Report-on-PR-Economic-and-Disaster-Recovery-Plan_20250701T172302.682Z.pdf
congressional_research/Base Clousure (Congress Report 2004) 0820_RS20458_27031c5e4ea0bf2ce3270283a9f4d1d0223cdccc.pdf,congressional_research,Base Clousure (Congress Report 2004) 0820_RS20458_27031c5e4ea0bf2ce3270283a9f4d1d0223cdccc,,55639,1214167eba71856beb9fffe6544a2b3eb030107684ba889ba988899ab1854cc6,Base Clousure (Congress Report 2004) 0820_RS20458_27031c5e4ea0bf2ce3270283a9f4d1d0223cdccc.pdf
congressional_research/CHRG-117hhrg45791.pdf,congressional_research,CHRG-117hhrg45791,U.S. Congress,2849156,ec52486c2d3066dbebda014dc104776a48765190ffa4463e37dabfee3332bf03,CHRG-117hhrg45791.pdf
congressional_research/CRS_R46788_2022_FULL.txt,congressional_research,CRS_R46788_2022_FULL,Congressional Research Service,226607,bc32f263b02464c78a4df9066a72182ec4eb19fd5651b6100e7974087e944764,CRS_R46788_2022_FULL.txt
congressional_research/R46788.5.pdf,congressional_research,R46788.5,Congressional Research Service,2853983,5b12dc4a410cccf25fffd78c8cd05a928ee263ec600731cde7a28602da491b12,R46788.5.pdf
congressional_research/R46788.pdf,congressional_research,R46788,Congressional Research Service,2954982,7a00283b01a14bf6ddd3674bdc1119e5c5e58c6b2cd7f397007f91d172f69c33,R46788.pdf
contractor_listings/Consolidating 100% of Arcadis-Linked Online Contracts in Puerto Rico.pdf,contractor_listings,Consolidating 100% of Arcadis-Linked Online Contracts in Puerto Rico,,123893,b7dee8ced5d6947ed839a46d51719520d41fdd5343815ca039ce063db3af563a,Consolidating 100% of Arcadis-Linked Online Contracts in Puerto Rico.pdf
contractor_listings/FY_2013_All_Active_Contractor_Listing.pdf,contractor_listings,FY_2013_All_Active_Contractor_Listing,,2548624,602643429b805ace90f3e4ae7037b9bdac1957c3336a890476c1d90f24b3d560,FY_2013_All_Active_Contractor_Listing.pdf
energy_procurement/88384 - Puerto Rico Grid Resilience and Transitions to 100% Renewable Energy Study.pdf,energy_procurement,88384 - Puerto Rico Grid Resilience and Transitions to 100% Renewable Energy Study,,47012965,3cfab7c0556528e32c9498e39ef0395a898718e9387ec789188a37892b2da54d,88384 - Puerto Rico Grid Resilience and Transitions to 100% Renewable Energy Study.pdf
energy_procurement/Addendum No. 1 New Flexible Generation Capacity RFQ.pdf,energy_procurement,Addendum No. 1 New Flexible Generation Capacity RFQ,,765824,dda2cf2308fdbb82acf17f17d129a2589dbc640904fc6496c45b069e37f1c442,Addendum No. 1 New Flexible Generation Capacity RFQ.pdf
energy_procurement/LNG to H2 Combined Cycle Generation Plant.pdf,energy_procurement,LNG to H2 Combined Cycle Generation Plant,,398965,403fd6c1e563c53b0cea14e824a6f6c5a6f37ec42152f185ae8b5983eba119a1,LNG to H2 Combined Cycle Generation Plant.pdf
energy_procurement/New Generation Capacity - Request for Qualifications.pdf,energy_procurement,New Generation Capacity - Request for Qualifications,,715836,bd37a7297e4c8f5be2a25aba4eea80a058ca38d800c9cf74389c110b39fcddeb,New Generation Capacity - Request for Qualifications.pdf
