event_id,event_date,event_type,title,related_entity_id,related_entity_name,claim,source_id,evidence_tier,confidence,notes
FCE_55c9fef3638a4223,2016-06-30,legislation,PROMESA enacted,,,"U.S. Congress enacted PROMESA (Puerto Rico Oversight, Management, and Economic Stability Act), Pub. L. 114-187, establishing a federal oversight board and Title III debt-restructuring process.",fiscal_control_events_seed,T1,0.95,
FCE_cd6b173fe7b9fbb6,2016-08-31,oversight_board,FOMB members appointed,ENT_AGENCY_3d2fd8a05e1703b2,Financial Oversight and Management Board for Puerto Rico,The seven members of the Financial Oversight and Management Board for Puerto Rico were appointed under PROMESA.,fiscal_control_events_seed,T1,0.95,
FCE_0412eb54b42d4999,2017-05-03,title_iii_filing,Commonwealth Title III petition filed,ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,The Oversight Board filed a Title III petition for the Commonwealth of Puerto Rico in the U.S. District Court for the District of Puerto Rico.,fiscal_control_events_seed,T1,0.95,
FCE_57ab774de244213a,2017-05-21,title_iii_filing,COFINA Title III petition filed,ENT_ORG_5204a3d8f84bbfcd,Puerto Rico Sales Tax Financing Corporation,The Oversight Board filed a Title III petition for COFINA (Puerto Rico Sales Tax Financing Corporation).,fiscal_control_events_seed,T1,0.95,
FCE_e83ec091dc90300f,2017-07-02,title_iii_filing,PREPA Title III petition filed,ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,The Oversight Board filed a Title III petition for the Puerto Rico Electric Power Authority (PREPA).,fiscal_control_events_seed,T1,0.95,
FCE_a6028b277b1e982b,2017-09-20,disaster,Hurricane Maria landfall,ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,"Hurricane Maria made landfall in Puerto Rico, deepening the fiscal, infrastructure, and debt-restructuring crisis.",fiscal_control_events_seed,T1,0.95,
FCE_33db91901c579833,2019-02-04,plan_of_adjustment,COFINA Plan of Adjustment confirmed,ENT_ORG_5204a3d8f84bbfcd,Puerto Rico Sales Tax Financing Corporation,"The Title III court confirmed COFINA's Plan of Adjustment, restructuring roughly $17.6 billion of sales-tax-backed debt.",fiscal_control_events_seed,T1,0.95,
FCE_347d335759d06da8,2019-05-03,restructuring,PREPA Restructuring Support Agreement advanced,ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,PREPA and certain bondholders advanced a Restructuring Support Agreement for PREPA's outstanding revenue bonds.,fiscal_control_events_seed,T2,0.85,
FCE_67451ba18650b55e,2021-06-01,operations,LUMA Energy assumes PREPA transmission and distribution,ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,LUMA Energy assumed operation of PREPA's transmission and distribution system under a public-private partnership agreement.,fiscal_control_events_seed,T1,0.95,
FCE_3872a45b90f3a6d8,2022-01-18,plan_of_adjustment,Commonwealth Plan of Adjustment effective,ENT_AGENCY_125b538f289a4708,Commonwealth of Puerto Rico,"The Commonwealth's Plan of Adjustment became effective, restructuring roughly $33 billion of liabilities and cutting about $22 billion of debt.",fiscal_control_events_seed,T1,0.95,
FCE_5e737e5def562597,2022-12-16,plan_of_adjustment,HTA Plan of Adjustment confirmed,ENT_AGENCY_b182f85acf46f69b,Puerto Rico Highways and Transportation Authority,The Title III court confirmed the Plan of Adjustment for the Puerto Rico Highways and Transportation Authority (HTA).,fiscal_control_events_seed,T2,0.85,
FCE_5c610817d8f2c8b6,2023-07-01,operations,Genera PR assumes PREPA generation,ENT_AGENCY_6c1d858c1babe390,Puerto Rico Electric Power Authority,Genera PR assumed operation of PREPA's legacy power-generation fleet under a public-private partnership agreement.,fiscal_control_events_seed,T1,0.95,
