source_id,family,required,authentication,expected_output_count,present_count,missing_count,empty_count,source_status,total_rows_present,min_rows_threshold,first_expected_output,blocker_notes,materiality_label,coverage_status,certification_status
campaign_finance_entities,political_finance,True,none,4,0,4,0,not_materialized,0,1,data/staging/processed/pr_campaign_finance_candidates.csv,"Deterministic candidate/committee registry, Schedule B recipient resolution, and contribution/expenditure graph edges.",empty,uncontracted,uncertified
campaign_finance_materialization_gate,political_finance,True,none,1,0,1,0,not_materialized,0,1,data/manifests/campaign_finance/campaign_finance_validation.json,"Fail-closed validation for FEC Schedule A/B/E, PR donation feeds, entity resolution, graph edges, and conditional cross-reference outputs.",empty,uncontracted,uncertified
cor3,territorial,True,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_cor3_projects.csv,"PR Central Office for Recovery, Reconstruction and Resiliency project tracker.",empty,unverifiable,uncertified
hud_drgr_authorized,manual_export,True,manual_export,2,0,2,0,not_materialized,0,1,data/staging/processed/hud_drgr_activities.csv,Credentialed DRGR portal — operator must export and drop manifests in manual_drop_dir.,empty,unverifiable,uncertified
oficina_contralor,territorial,True,none,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_contralor_audits.csv,"PR Comptroller (OCPR) audit AND investigation reports (Regular/Especial/ Investigaciones — all three report types live in this one source) on government entities, scraped live from the public iapconsu",empty,unverifiable,uncertified
pr_cabilderos,lobbying,True,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_cabilderos.csv,"PR Office of Government Ethics (OEG) state-level lobbyist (cabildero) registry. ingest_cabilderos.py is a dropzone reader (CSV/Excel), not a live scraper - operator delivers the OEG export to data/raw",empty,unverifiable,uncertified
prasa,infrastructure,True,manual_export,1,0,1,0,not_materialized,0,1,data/staging/processed/pr_prasa_contracts.csv,"PRASA aqueduct/sewer authority. ingest_prasa.py is a dropzone reader (CSV/Excel), not a live scraper - operator delivers exported procurement files to data/raw/PRASA/. Includes Consulting Engineer Rep",empty,uncontracted,uncertified
usaspending_prime,federal,True,none,2,1,1,0,partially_materialized,5147,1,data/staging/processed/pr_contracts_master.csv,"USAspending API + bulk archive. No key required.
Top recipients are PR government agencies (PRDOH, ADSEF, PRDE, PRHA) —
no corporate parent_uei is expected for these entities.
",substantial,unverifiable,uncertified
emma_bonds,bonds,True,none,2,2,0,0,fully_materialized,35,1,data/staging/processed/pr_emma_bonds.csv,,seed,unverifiable,provisional
fec,political_finance,True,api_key:FEC_API_KEY,1,1,0,0,fully_materialized,1049,1,data/staging/processed/pr_fec_contributions.csv,"pr_fec_crossref.csv is generated by analyze_fec_crossref.py after the unified awards master is entity-resolved (PR3 dependency). Not declared as expected_output to avoid gate failures before PR3.
",substantial,unverifiable,provisional
