priority,classification,source_family,expected_input,target_output_path,command_mode,command_selected,command_executed,command_exit_code,validation_passed,validation_reason,row_count,missing_columns,blocker_reason,command_output_excerpt
1,automated_backfill_available,usaspending_federal_awards_backbone,data/staging/processed/pr_contracts_master.csv,data/staging/processed/pr_contracts_master.csv,dry_run_plan,DRY_RUN: python scripts/deduplicate_master.py,False,,False,missing_output,0,contract_id|vendor_name|agency_name|award_date|obligated_amount|pop_state|source_file|fiscal_year,,
2,automated_backfill_available,usaspending_federal_awards_backbone,data/staging/processed/pr_grants_master.csv,data/staging/processed/pr_grants_master.csv,dry_run_plan,DRY_RUN: python scripts/download_grants.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
3,automated_backfill_available,fsrs_subawards,data/staging/processed/pr_subawards_master.csv,data/staging/processed/pr_subawards_master.csv,dry_run_plan,DRY_RUN: python scripts/download_subawards.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
4,automated_backfill_available,fema_pa_hmgp,data/staging/processed/pr_fema_pa_master.csv,data/staging/processed/pr_fema_pa_master.csv,dry_run_plan,DRY_RUN: python scripts/download_fema.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
5,automated_backfill_available,fema_pa_hmgp,data/staging/processed/pr_fema_hmgp_master.csv,data/staging/processed/pr_fema_hmgp_master.csv,dry_run_plan,DRY_RUN: python scripts/download_fema.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
6,automated_backfill_available,federal_research,data/staging/processed/pr_research_master.csv,data/staging/processed/pr_research_master.csv,dry_run_plan,DRY_RUN: python scripts/download_research.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
7,automated_backfill_available,sba_loans,data/staging/processed/pr_sba_loans_master.csv,data/staging/processed/pr_sba_loans_master.csv,dry_run_plan,DRY_RUN: python scripts/download_sba.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
8,automated_backfill_available,slfrf,data/staging/processed/pr_slfrf_master.csv,data/staging/processed/pr_slfrf_master.csv,dry_run_plan,DRY_RUN: python scripts/download_slfrf.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
9,automated_backfill_available,hud_cdbg,data/staging/processed/pr_cdbg_dr_master.csv,data/staging/processed/pr_cdbg_dr_master.csv,dry_run_plan,DRY_RUN: python scripts/download_cdbg_dr.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
10,automated_backfill_available,federal_sectoral_dot,data/staging/processed/pr_dot_master.csv,data/staging/processed/pr_dot_master.csv,dry_run_plan,DRY_RUN: python scripts/download_dot.py --force,False,,False,missing_output,0,award_id|recipient_name|recipient_name_normalized|recipient_uei|awarding_agency|awarding_sub_agency|obligated_amount|award_date|fiscal_year|pop_state|pop_county|description|source_file|source_dataset|award_category|source_system|source_record_id|source_lineage_path|source_lineage_mode,,
