priority,retry_rank,expected_input,source_family,primary_blocker_class,next_action,retry_eligible,retry_attempted,retry_status,target_output_path,row_count,validation_status,manifest_written,failure_reason,producer_script,command,patched_command,command_exit_code,command_excerpt_safe,schema_alignment_status,schema_alignment_added_count,forbidden_artifact_usage,manual_fallback_required,disposition
1,21,data/staging/processed/pr_contracts_master.csv,usaspending_federal_awards_backbone,no_data,retry_after_fix,True,True,failed_no_data,data/staging/processed/pr_contracts_master.csv,0,not_run,False,target output has zero rows,scripts/deduplicate_master.py,python scripts/deduplicate_master.py,python scripts/deduplicate_master.py,0,2026-05-08 17:09:30 [INFO] Building consolidated master file... 2026-05-08 17:09:30 [WARNING] No normalized files found in processed/ 2026-05-08 17:09:30 [WARNING] No data to merge — master not written Master: 0 rows (0 duplicates removed) ,not_applicable,0,False,True,manual_fallback_remaining
2,12,data/staging/processed/pr_grants_master.csv,usaspending_federal_awards_backbone,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/processed/pr_grants_master.csv,0,not_run,False,endpoint unavailable source left queued,scripts/download_grants.py,python scripts/download_grants.py --force,,,,not_applicable,0,False,True,manual_fallback_remaining
3,8,data/staging/processed/pr_subawards_master.csv,fsrs_subawards,producer_exception,patch_producer_script,True,True,failed_command,data/staging/processed/pr_subawards_master.csv,0,not_run,False,"2026-05-08 17:09:33 [INFO] Starting PR subawards download... 2026-05-08 17:09:33 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:09:33 [INFO] Fetching subawards_grants_2000f2009.csv (2007-10-01 to 2009-09-30, type=grants) 2",scripts/download_subawards.py,python scripts/download_subawards.py --force,python scripts/download_subawards.py --force --allow-empty-success,1,"2026-05-08 17:09:33 [INFO] Starting PR subawards download... 2026-05-08 17:09:33 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:09:33 [INFO] Fetching subawards_grants_2000f2009.csv (2007-10-01 to 2009-09-30, type=grants) 2",not_applicable,0,False,True,manual_fallback_remaining
4,13,data/staging/processed/pr_fema_pa_master.csv,fema_pa_hmgp,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/processed/pr_fema_pa_master.csv,0,not_run,False,endpoint unavailable source left queued,scripts/download_fema.py,python scripts/download_fema.py --force,,,,not_applicable,0,False,True,manual_fallback_remaining
5,14,data/staging/processed/pr_fema_hmgp_master.csv,fema_pa_hmgp,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/processed/pr_fema_hmgp_master.csv,0,not_run,False,endpoint unavailable source left queued,scripts/download_fema.py,python scripts/download_fema.py --force,,,,not_applicable,0,False,True,manual_fallback_remaining
6,15,data/staging/processed/pr_research_master.csv,federal_research,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/processed/pr_research_master.csv,0,not_run,False,endpoint unavailable source left queued,scripts/download_research.py,python scripts/download_research.py --force,,,,not_applicable,0,False,True,manual_fallback_remaining
7,9,data/staging/processed/pr_sba_loans_master.csv,sba_loans,producer_exception,patch_producer_script,True,True,failed_no_data,data/staging/processed/pr_sba_loans_master.csv,0,not_run,False,target output has zero rows,scripts/download_sba.py,python scripts/download_sba.py --force,python scripts/download_sba.py --force --allow-empty-success,0,2026-05-08 17:09:50 [INFO] Starting SBA Disaster Loan download for Puerto Rico... 2026-05-08 17:09:50 [INFO] Trying CKAN package: disaster-loan-data 2026-05-08 17:09:51 [INFO] Selected first CSV resource 'Disaster Loan FY22' (id=dfca7ddd-34,not_applicable,0,False,True,manual_fallback_remaining
8,1,data/staging/processed/pr_slfrf_master.csv,slfrf,schema_mismatch,add_schema_mapping,True,True,success,data/staging/processed/pr_slfrf_master.csv,200,passed,True,,scripts/download_slfrf.py,python scripts/download_slfrf.py --force,python scripts/download_slfrf.py --force,0,2026-05-08 17:10:00 [INFO] Starting SLFRF download for Puerto Rico (USASpending CFDA 21.027)... 2026-05-08 17:10:00 [INFO] Fetching slfrf_grants.csv (type_group=grants) 2026-05-08 17:10:02 [INFO] Saved 100 rows → slfrf_grants.csv 2026-05-08,aligned,5,False,False,fixed_and_retried
9,16,data/staging/processed/pr_cdbg_dr_master.csv,hud_cdbg,endpoint_unavailable,endpoint_review,False,False,not_retried_endpoint_unavailable,data/staging/processed/pr_cdbg_dr_master.csv,0,not_run,False,endpoint unavailable source left queued,scripts/download_cdbg_dr.py,python scripts/download_cdbg_dr.py --force,,,,not_applicable,0,False,True,manual_fallback_remaining
10,2,data/staging/processed/pr_dot_master.csv,federal_sectoral_dot,schema_mismatch,add_schema_mapping,True,True,success,data/staging/processed/pr_dot_master.csv,374,passed,True,,scripts/download_dot.py,python scripts/download_dot.py --force,python scripts/download_dot.py --force,0,"2026-05-08 17:10:12 [INFO] Starting DOT grants download for Puerto Rico... 2026-05-08 17:10:12 [INFO] [Window 2000f2009] 2007-10-01 to 2009-09-30 2026-05-08 17:10:12 [INFO] Fetching dot_pop_2000f2009.csv (2007-10-01 → 2009-09-30, filter=pop",aligned,5,False,False,fixed_and_retried
