source_id,family,required,authentication,producer_script,producer_script_exists,producer_wired_in_run_all,declared_status,expected_outputs,outputs_on_disk_count,outputs_on_disk,audit_status,audit_note,registry_blocker_notes
usaspending_prime,federal,True,none,scripts/build_unified_master.py,True,True,fully_materialized,data/staging/processed/pr_contracts_master.csv;data/staging/processed/pr_all_awards_master.csv,0,,DECLARED_GREEN_NO_OUTPUT_ON_DISK,Registry claims materialized but no output files present in clone,"USAspending API + bulk archive. No key required. Top recipients are PR government agencies (PRDOH, ADSEF, PRDE, PRHA) — "
usaspending_subawards,federal,True,none,scripts/download_subawards.py,True,True,fully_materialized,data/staging/processed/pr_subawards_master.csv;data/staging/processed/execution/execution_chain_master.csv,1,data/staging/processed/execution/execution_chain_master.csv,DECLARED_GREEN_PARTIAL_ON_DISK,Registry claims materialized; only 1/2 declared outputs on disk,
fpds_report_builder,federal,False,none,scripts/download_grants.py,True,True,not_materialized,data/staging/processed/pr_fpds_report_builder.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,FPDS Report Builder FY2018-2024 ingestion. Supplements USAspending.
fsrs_subawards,federal,True,none,scripts/download_fsrs.py,True,True,not_materialized,data/staging/processed/pr_fsrs_subawards.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,FSRS prime-to-sub reporting. Joins with USAspending subaward stream.
sam_entities,entity_resolution,True,api_key:SAM_API_KEY,scripts/sam_enrichment.py,True,True,fully_materialized,data/staging/processed/enrichment/vendor_uei_index.csv;data/staging/processed/entities_resolved.csv,0,,DECLARED_GREEN_NO_OUTPUT_ON_DISK,Registry claims materialized but no output files present in clone,SAM full extract + per-UEI enrichment for parent resolution. Supplemented by scripts/usaspending_parent_uei_extract.py (
highergov_supplemental,federal,False,api_key:HGOV_API_KEY,scripts/fetch_highergov_api.py,True,True,partially_materialized,data/raw/HigherGov/;data/staging/processed/pr_highergov_supplement.csv,1,data/raw/HigherGov/,DECLARED_PARTIAL_VERIFIED,,Supplementary federal contract intel via HigherGov. PDFs require parse_highergov_pdfs.
fema_pa_openfema_v2,federal,True,none,scripts/download_openfema_pa_projects.py,True,True,fully_materialized,data/staging/processed/pr_fema_pa_master.csv,0,,DECLARED_GREEN_NO_OUTPUT_ON_DISK,Registry claims materialized but no output files present in clone,Preferred FEMA PA route. OpenFEMA v2 PA projects API.
fema_hmgp,federal,False,none,scripts/download_fema.py,True,True,not_materialized,data/staging/processed/pr_fema_hmgp.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
cor3,territorial,True,none,scripts/download_cor3.py,True,True,not_materialized,data/staging/processed/pr_cor3_master.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,"PR Central Office for Recovery, Reconstruction and Resiliency project tracker."
hud_cdbg_dr_public,federal,True,none,scripts/download_cdbg_dr.py,True,False,fully_materialized,data/staging/processed/pr_cdbg_dr_master.csv,0,,DECLARED_GREEN_UNWIRED_NO_OUTPUT,"Registry claims materialized, producer NOT in run_all.py, no outputs on disk — unverifiable claim",
hud_drgr_authorized,manual_export,True,manual_export,scripts/ingest_hud_drgr_exports.py,True,True,not_materialized,data/staging/processed/hud_drgr_activities.csv;data/staging/processed/hud_drgr_projects.csv,0,,BLOCKED_MANUAL_EXPORT,Producer requires operator-supplied export drop,Credentialed DRGR portal — operator must export and drop manifests in manual_drop_dir.
hud_hcv_section8,federal,False,none,scripts/download_hud_hcv.py,True,True,not_materialized,data/staging/processed/pr_hud_hcv.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
prasa,infrastructure,True,none,scripts/ingest_prasa.py,True,True,not_materialized,data/staging/processed/pr_prasa_contracts.csv;data/staging/processed/prasa_contracts_master.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,PRASA aqueduct/sewer authority. Includes Consulting Engineer Report FY2024 baseline.
prepa_luma_genera,infrastructure,False,none,scripts/download_prepa_contracts.py,True,True,not_materialized,data/staging/processed/pr_prepa_contracts.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,PREPA / LUMA Energy / Genera PR contracts and operating data.
act_transition_contracts,manual_export,False,manual_export,scripts/ingest_active_contractors.py,True,True,not_materialized,data/staging/processed/pr_act_transition_contracts.csv,0,,BLOCKED_MANUAL_EXPORT,Producer requires operator-supplied export drop,"PR ACT transition contract files (Autopistas, Ferrovial, LPC&D, etc.). Manual export."
acuden_2024_transition,manual_export,False,manual_export,scripts/ingest_active_contractors.py,True,True,not_materialized,data/staging/processed/pr_acuden_transition.csv,0,,BLOCKED_MANUAL_EXPORT,Producer requires operator-supplied export drop,ACUDEN 2024 transition contract file. Transfer-of-funds contracts to municipalities/daycare/nonprofits.
dcaa_active_contractors,manual_export,False,manual_export,scripts/download_active_contractors.py,True,True,not_materialized,data/staging/processed/pr_dcaa_active_contractors.csv,0,,BLOCKED_MANUAL_EXPORT,Producer requires operator-supplied export drop,DCAA FY2007/FY2012/FY2013 active contractor listings. Alias/crosswalk source.
oficina_contralor,territorial,True,none,scripts/ingest_contralor.py,True,True,not_materialized,data/staging/processed/pr_contralor_contracts.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,PR Comptroller contract registry. Authoritative for territorial contracts.
compras_pr,territorial,False,none,scripts/download_compras.py,True,True,not_materialized,data/staging/processed/pr_compras_rfps.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,comprashpr.com RFP / award scrape.
aafaf,territorial,False,none,scripts/download_aafaf.py,True,True,not_materialized,data/staging/processed/pr_aafaf_budget.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,PR Fiscal Agency & Financial Advisory Authority. Budget execution.
hacienda,territorial,False,none,scripts/download_hacienda.py,True,True,not_materialized,data/staging/processed/pr_hacienda_tax_revenue.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
cofina,territorial,False,none,scripts/download_cofina.py,True,True,not_materialized,data/staging/processed/pr_cofina_sut.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
promesa_creditors,territorial,False,none,scripts/download_promesa_creditors.py,True,True,not_materialized,data/staging/processed/pr_promesa_creditors.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
pr_act_60_decrees,territorial,False,none,scripts/download_act60.py,True,True,not_materialized,data/staging/processed/pr_act60_decrees.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
p3_authority,territorial,False,none,scripts/download_p3.py,True,True,not_materialized,data/staging/processed/pr_p3_contracts.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
pr_pensions,territorial,False,none,scripts/download_pr_pensions.py,True,True,not_materialized,data/staging/processed/pr_pensions_ers_trs_jrs.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
rum_cover_over,territorial,False,none,scripts/download_rum_coverover.py,True,True,not_materialized,data/staging/processed/pr_rum_coverover.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
municipal_finance,municipal,False,none,scripts/download_municipal.py,True,True,not_materialized,data/staging/processed/pr_municipal_finance.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
eqb_epa_icis,territorial,False,none,scripts/download_eqb.py,True,True,not_materialized,data/staging/processed/pr_eqb_permits.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,PR Environmental Quality Board + EPA ICIS environmental permits.
emma_bonds,bonds,True,none,scripts/download_emma.py,True,True,not_materialized,data/staging/processed/pr_emma_bonds.csv;data/staging/processed/bond_asset_map.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
msrb_rtrs_trades,bonds,False,none,scripts/download_msrb_trades.py,True,True,not_materialized,data/staging/processed/pr_msrb_rtrs_trades.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
lda,lobbying,True,api_key:LDA_API_KEY,scripts/download_lda.py,True,True,fully_materialized,data/staging/processed/pr_lda_filings.csv,0,,DECLARED_GREEN_NO_OUTPUT_ON_DISK,Registry claims materialized but no output files present in clone,
pr_cabilderos,lobbying,True,none,scripts/ingest_cabilderos.py,True,True,not_materialized,data/staging/processed/pr_cabilderos.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
fec,political_finance,True,api_key:FEC_API_KEY,scripts/download_fec.py,True,True,fully_materialized,data/staging/processed/pr_fec_contributions.csv,0,,DECLARED_GREEN_NO_OUTPUT_ON_DISK,Registry claims materialized but no output files present in clone,pr_fec_crossref.csv is generated by analyze_fec_crossref.py after the unified awards master is entity-resolved (PR3 depe
donaciones_pr,political_finance,False,none,scripts/ingest_fec.py,True,True,not_materialized,data/staging/processed/pr_donaciones.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,PR State Election Commission donations. Cross-references federal FEC.
follow_the_money,political_finance,False,none,scripts/ingest_follow_the_money.py,True,True,not_materialized,data/staging/processed/pr_follow_the_money.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,State-level campaign finance for PR + DC connections.
sba_loans,federal,False,none,scripts/download_sba.py,True,False,not_materialized,data/staging/processed/pr_sba_loans.csv,0,,BLOCKED_NOT_WIRED,Producer script exists but is not imported by run_all.py,
sba_ppp,federal,False,none,scripts/download_sba.py,True,False,not_materialized,data/staging/processed/pr_sba_ppp.csv,0,,BLOCKED_NOT_WIRED,Producer script exists but is not imported by run_all.py,
slfrf,federal,False,none,scripts/download_slfrf.py,True,False,fully_materialized,data/staging/processed/pr_slfrf_master.csv,0,,DECLARED_GREEN_UNWIRED_NO_OUTPUT,"Registry claims materialized, producer NOT in run_all.py, no outputs on disk — unverifiable claim",
sbir,federal,False,none,scripts/download_sbir.py,True,False,not_materialized,data/staging/processed/pr_sbir.csv,0,,BLOCKED_NOT_WIRED,Producer script exists but is not imported by run_all.py,
nih_reporter,federal,False,none,scripts/download_nih.py,True,True,not_materialized,data/staging/processed/pr_nih_grants.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
usace_civil_works,federal,False,none,scripts/download_usace_civil.py,True,True,not_materialized,data/staging/processed/pr_usace_civil.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
usace_permits,federal,False,none,scripts/download_usace_permits.py,True,True,not_materialized,data/staging/processed/pr_usace_permits.csv,0,,READY_NOT_MATERIALIZED,Producer wired and unblocked; never executed in this clone,
