source_id,audit_status,is_financial,financial_domain,family,required,path_type,automatable,producer_importable,needs_key,producer_script,producer_basename,producer_name_aligned,expected_outputs_count,outputs_present_count,offline_input,blocker,recommended_action
emma_bonds,wired_materializing,True,debt_and_bonds,bonds,True,api_producer,True,True,,scripts/download_emma.py,download_emma.py,True,2,2,,,"Run producer under strict preflight; public API path, set key if gated."
fema_pa_openfema_v2,wired_materializing,True,federal_awards,federal,True,api_adapter,True,True,,scripts/download_openfema_pa_projects.py,download_openfema_pa_projects.py,False,1,1,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
highergov_supplemental,wired_materializing,True,federal_awards,federal,False,api_adapter,True,True,HIGHERGOV_API_KEY,scripts/fetch_highergov_api.py,fetch_highergov_api.py,False,2,1,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
hud_cdbg_dr_public,wired_materializing,True,federal_awards,federal,True,api_producer,True,True,,scripts/download_cdbg_dr.py,download_cdbg_dr.py,True,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
usaspending_prime,wired_materializing,True,federal_awards,federal,True,api_adapter,True,True,,scripts/build_unified_master.py,build_unified_master.py,False,2,1,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
usaspending_subawards,wired_materializing,True,federal_awards,federal,True,api_adapter,True,True,,scripts/download_subawards.py,download_subawards.py,True,2,2,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
act_transition_ppp,wired_materializing,True,infrastructure_contracts,infrastructure,False,api_producer,True,True,,scripts/parse_act_transition_ppp.py,parse_act_transition_ppp.py,True,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
lda,wired_materializing,True,lobbying_influence,lobbying,True,api_adapter,True,True,,scripts/sources/fetch_lda_gov.py,fetch_lda_gov.py,True,14,14,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
fec,wired_materializing,True,political_finance,political_finance,True,api_adapter,True,True,FEC_API_KEY,scripts/download_fec.py,download_fec.py,True,1,1,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
oce_socrata_live,wired_materializing,True,political_finance,political_finance,False,api_producer,True,True,,scripts/download_oce.py,download_oce.py,True,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
cor3,wired_materializing,True,territorial_spending,territorial,True,api_producer,True,True,,scripts/download_cor3.py,download_cor3.py,True,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
oficina_contralor,wired_materializing,True,territorial_spending,territorial,True,api_producer,True,True,,scripts/scrape_iapconsulta.py,scrape_iapconsulta.py,False,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
ftz_board_pr,wired_materializing,True,uncategorized,federal_financial_incentive,False,api_producer,True,True,,scripts/scrape_ftz_board_pr.py,scrape_ftz_board_pr.py,True,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
ocif_guide_financial_classes,wired_materializing,True,uncategorized,financial_regulation,False,api_producer,True,True,,scripts/scrape_ocif_guide_financial_classes.py,scrape_ocif_guide_financial_classes.py,True,1,1,,,"Run producer under strict preflight; public API path, set key if gated."
ocs_insurer_registry,wired_materializing,True,uncategorized,financial_regulation,False,api_producer,True,True,,scripts/scrape_ocs_insurers.py,scrape_ocs_insurers.py,False,2,2,,,"Run producer under strict preflight; public API path, set key if gated."
sam_entities,wired_materializing,False,entity_resolution,entity_resolution,True,api_adapter,True,True,,scripts/run_sam_pipeline.py,run_sam_pipeline.py,False,2,2,,,Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
act_transition_contracts,wired_offline_ready,True,manual_financial,manual_export,False,manual_export,False,True,,scripts/ingest_act_transition.py,ingest_act_transition.py,True,1,1,data/raw/act_transition/transition_contracts_extracted.csv,run producer to materialize from committed input,Operator delivers file to the dropzone; see manual_export_registry.yaml + runbook.
acuden_2024_transition,wired_offline_ready,True,manual_financial,manual_export,False,manual_export,False,True,,scripts/ingest_act_transition.py,ingest_act_transition.py,False,1,1,data/raw/act_transition/transition_contracts_extracted.csv,run producer to materialize from committed input,Operator delivers file to the dropzone; see manual_export_registry.yaml + runbook.
follow_the_money,wired_offline_ready,True,political_finance,political_finance,False,manual_export,False,True,,scripts/ingest_follow_the_money.py,ingest_follow_the_money.py,True,3,0,data/raw/follow_the_money/municipality_political_federal_bridge.csv,run producer to materialize from committed input,Operator delivers file to the dropzone; see manual_export_registry.yaml + runbook.
msrb_rtrs_trades,wired_ready_unmaterialized,True,debt_and_bonds,bonds,False,api_producer,True,True,,scripts/download_msrb_trades.py,download_msrb_trades.py,False,1,0,,needs a producer run (network egress),"Run producer under strict preflight; public API path, set key if gated."
chip,wired_ready_unmaterialized,True,federal_awards,federal,False,api_adapter,True,True,,scripts/download_chip.py,download_chip.py,True,1,0,,needs a producer run (network egress),Materialize via `python -m moneysweep.query --source <id>` (set key if gated).
