source_id,family,target_type,targets,mapping_state,mapping_evidence
"aafaf","territorial","DOMAIN","PUBLIC_FINANCE","PARTIAL","broad territorial family requires record-level adjudication"
"act_toll_revenue","infrastructure_revenue","DOMAIN","PUBLIC_FINANCE","MAPPED","registry family=infrastructure_revenue"
"act_tolls_concession","infrastructure","DOMAIN","PRIVATIZATION_PPP_CONTROL;LAND_ASSETS_CONCESSIONS","PARTIAL","PPP/concession source metadata"
"act_transition_contracts","manual_export","DOMAIN","PROCUREMENT;PRIVATIZATION_PPP_CONTROL","PARTIAL","source-specific manual-export metadata"
"act_transition_ppp","infrastructure","DOMAIN","PRIVATIZATION_PPP_CONTROL;LAND_ASSETS_CONCESSIONS","PARTIAL","PPP/concession source metadata"
"acuden_2024_transition","manual_export","DOMAIN","PROCUREMENT;PUBLIC_FINANCE","PARTIAL","source-specific manual-export metadata"
"ases_plan_vital","territorial","DOMAIN","PUBLIC_FINANCE","PARTIAL","broad territorial family requires record-level adjudication"
"asg_emergency_purchases","territorial","DOMAIN","PROCUREMENT","MAPPED","procurement source metadata"
"asg_suppliers","entity_resolution","CORE_SUPPORT","IDENTITY_RESOLUTION","MAPPED","registry family=entity_resolution"
"bde_loans","territorial","DOMAIN","PUBLIC_FINANCE;CORPORATE_CAPITAL","PARTIAL","territorial business-loan source metadata"
"campaign_finance_entities","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"campaign_finance_materialization_gate","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"census_gov_finances","territorial","DOMAIN","PUBLIC_FINANCE","PARTIAL","broad territorial family requires record-level adjudication"
"centinelas_pre_official_signals","pre_officialization","CORE_SUPPORT","PRE_OFFICIAL_CANDIDATE","MAPPED","registry family=pre_officialization"
"chip","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"cms_open_payments","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"cofina","territorial","DOMAIN","DEBT_AND_FINANCE","PARTIAL","debt/fiscal-liability source metadata"
"compras_pr","territorial","DOMAIN","PROCUREMENT","MAPPED","procurement source metadata"
"congressional_earmarks","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"contralor_electoral","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"cor3","territorial","DOMAIN","FEDERAL_INTERGOVERNMENTAL;PUBLIC_FINANCE","PARTIAL","recovery/subsidy transfer source metadata"
"crim_property_tax","municipal","DOMAIN","PUBLIC_FINANCE","MAPPED","municipal fiscal/fee source metadata"
"dcaa_active_contractors","manual_export","CORE_SUPPORT","IDENTITY_RESOLUTION","PARTIAL","source-specific manual-export metadata"
"ddec_incentives","territorial","DOMAIN","TAX_INCENTIVES","MAPPED","tax/incentive source metadata"
"doe_grants","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"doj_grants","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"doj_settlements","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"dol_whd_osha","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"donaciones_pr","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"dot_grants","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"dtop_centerline_lrs","infrastructure","CORE_SUPPORT","GEOSPATIAL_SUPPORT","MAPPED","geometry/network source metadata"
"dtop_road_contracts","infrastructure","DOMAIN","PROCUREMENT","MAPPED","contract source metadata"
"dtop_vehicle_fees","territorial","DOMAIN","PUBLIC_FINANCE","MAPPED","territorial fiscal source metadata"
"ed_grants","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"eia_power_sector","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"emma_bonds","bonds","DOMAIN","DEBT_AND_FINANCE","MAPPED","registry family=bonds"
"emma_infra_revenue","infrastructure_revenue","DOMAIN","PUBLIC_FINANCE","MAPPED","registry family=infrastructure_revenue"
"epa_grants","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"eqb_epa_icis","territorial","DOMAIN","PUBLIC_FINANCE","PARTIAL","broad territorial family requires record-level adjudication"
"equitable_sharing","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"estadisticas_pr_external_trade","territorial","DOMAIN","MACRO_ACCOUNTS","MAPPED","external-trade macro series"
"exim_bank","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"fcc_usf","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"fdic","federal","DOMAIN","CORPORATE_CAPITAL","PARTIAL","federal corporate/financial source metadata"
"fec","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"fec_committees","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"federal_audit_clearinghouse","federal","CORE_SUPPORT","POLICY_CONTEXT","PARTIAL","audit/oversight support source"
"fema_hmgp","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"fema_individual_assistance","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"fema_pa_openfema_v2","federal","DOMAIN","FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal transfer/program source; exact event semantics require schema inspection"
"fhlb","federal","DOMAIN","CORPORATE_CAPITAL","PARTIAL","federal corporate/financial source metadata"
"fhwa_hpms_routes","infrastructure","CORE_SUPPORT","GEOSPATIAL_SUPPORT","MAPPED","geometry/network source metadata"
"fhwa_nbi_bridges","infrastructure","CORE_SUPPORT","GEOSPATIAL_SUPPORT","MAPPED","geometry/network source metadata"
"financialdata_net","optional_commercial_enrichment","CORE_SUPPORT","IDENTITY_RESOLUTION","MAPPED","registry notes define optional entity enrichment"
"follow_the_money","political_finance","DOMAIN","POLITICAL_FINANCE_CONTEXT","MAPPED","registry family=political_finance"
"fpds_report_builder","federal","DOMAIN","PROCUREMENT;FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal procurement/award source metadata"
"fred_timeseries","federal","DOMAIN","MACRO_ACCOUNTS","MAPPED","macro time-series source metadata"
"fsrs_subawards","federal","DOMAIN","PROCUREMENT;FEDERAL_INTERGOVERNMENTAL","PARTIAL","federal procurement/award source metadata"
"fta_ntd","infrastructure","DOMAIN","PUBLIC_FINANCE","PARTIAL","capital-project/financial source metadata"
"ftz_board_pr","federal_financial_incentive","DOMAIN","TAX_INCENTIVES","MAPPED","registry family=federal_financial_incentive"
