review_id,object_type,object_id,issue_type,raw_value,candidate_match,source_name,source_ref,severity,recommended_action,status
review_2afc938f69cdb4c9,person,ENT_PERSON_a89bb0a6e1dc2ead,low_confidence,Alejandro García Padilla,,canonical_v1_people,person_a89bb0a6e1dc2ead,medium,verify against a primary source before promotion,open
review_1560150ff3b3d736,person,ENT_PERSON_835ab43bfd838dc3,low_confidence,Andrew Rosenberg,,canonical_v1_people,person_835ab43bfd838dc3,medium,verify against a primary source before promotion,open
review_03af35907243d6e7,person,ENT_PERSON_2f80fed2bcdf8335,low_confidence,Aníbal Acevedo Vilá,,canonical_v1_people,person_2f80fed2bcdf8335,medium,verify against a primary source before promotion,open
review_d5c7e7414221ed6c,person,ENT_PERSON_656bae285db2e7cd,low_confidence,Brian Rosen,,canonical_v1_people,person_656bae285db2e7cd,medium,verify against a primary source before promotion,open
review_f8b7211f18d973bb,person,ENT_PERSON_00b24791faec5525,low_confidence,Bruce Karsh,,canonical_v1_people,person_00b24791faec5525,medium,verify against a primary source before promotion,open
review_04bab656e6ef1043,person,ENT_PERSON_8deb3bc24debda01,low_confidence,Christian Sobrino,,canonical_v1_people,person_8deb3bc24debda01,medium,verify against a primary source before promotion,open
review_b67133f8ea0f9c7d,person,ENT_PERSON_613d394e04265e46,low_confidence,Federico Stubbe,,canonical_v1_people,person_613d394e04265e46,medium,verify against a primary source before promotion,open
review_80790c74b9897a45,person,ENT_PERSON_d30846d82010402a,low_confidence,Howard Marks,,canonical_v1_people,person_d30846d82010402a,medium,verify against a primary source before promotion,open
review_f51731cb48b1b7f9,person,ENT_PERSON_d07e714899f4c094,low_confidence,John J. Rapisardi,,canonical_v1_people,person_d07e714899f4c094,medium,verify against a primary source before promotion,open
review_1eb04e43d03cbdd5,person,ENT_PERSON_b8c3af7cce81fcdd,low_confidence,John Paulson,,canonical_v1_people,person_b8c3af7cce81fcdd,medium,verify against a primary source before promotion,open
review_39bed810ff7c6641,person,ENT_PERSON_4aa5cea3c114182d,low_confidence,Jorge Hernández,,canonical_v1_people,person_4aa5cea3c114182d,medium,verify against a primary source before promotion,open
review_f3be1016e5a88321,person,ENT_PERSON_18b2039c27dfc985,low_confidence,Leon Cooperman,,canonical_v1_people,person_18b2039c27dfc985,medium,verify against a primary source before promotion,open
review_f5469e77e6705558,person,ENT_PERSON_3db224357139b5de,low_confidence,Luc Despins,,canonical_v1_people,person_3db224357139b5de,medium,verify against a primary source before promotion,open
review_f80057a308f9d90a,person,ENT_PERSON_5d0c409febd51ae5,low_confidence,Luis Fortuño,,canonical_v1_people,person_5d0c409febd51ae5,medium,verify against a primary source before promotion,open
review_9843c9544d8fc08f,person,ENT_PERSON_df7bfebca478a14e,low_confidence,Manuel Laboy,,canonical_v1_people,person_df7bfebca478a14e,medium,verify against a primary source before promotion,open
review_a1a65265e8b178fe,person,ENT_PERSON_5c5a6630b6036e88,low_confidence,Marc Lasry,,canonical_v1_people,person_5c5a6630b6036e88,medium,verify against a primary source before promotion,open
review_ca7ba40058d61154,person,ENT_PERSON_365ee146683a6115,low_confidence,Mark Brodsky,,canonical_v1_people,person_365ee146683a6115,medium,verify against a primary source before promotion,open
review_7b7a5c522f394b62,person,ENT_PERSON_1a0a11709659afd0,low_confidence,Nicholas Prouty,,canonical_v1_people,person_1a0a11709659afd0,medium,verify against a primary source before promotion,open
review_a1436e3646820978,person,ENT_PERSON_448daf3be1802601,low_confidence,Paul Singer,,canonical_v1_people,person_448daf3be1802601,medium,verify against a primary source before promotion,open
review_02ed16faa526f63c,person,ENT_PERSON_e571c45ee3aff079,low_confidence,Ricardo Rosselló,,canonical_v1_people,person_e571c45ee3aff079,medium,verify against a primary source before promotion,open
review_4c7d88c53b492dfa,person,ENT_PERSON_9a3b4ceb64e03ead,low_confidence,Seth Klarman,,canonical_v1_people,person_9a3b4ceb64e03ead,medium,verify against a primary source before promotion,open
review_b27e484618778890,person,ENT_PERSON_6c54762fbce7bfba,low_confidence,Steven Tananbaum,,canonical_v1_people,person_6c54762fbce7bfba,medium,verify against a primary source before promotion,open
review_46307d67c3aa7ca7,person,ENT_PERSON_7844ebbba9a82994,low_confidence,Wanda Vázquez Garced,,canonical_v1_people,person_7844ebbba9a82994,medium,verify against a primary source before promotion,open
review_f70fd355d982a73b,person,ENT_PERSON_46b2e7029e5a6b97,low_confidence,Wes Edens,,canonical_v1_people,person_46b2e7029e5a6b97,medium,verify against a primary source before promotion,open
