source_id,family,required,authentication,producer_script,expected_outputs,update_cadence,pipeline_status,blocker_notes
usaspending_prime,federal,True,none,scripts/build_unified_master.py,data/staging/processed/pr_contracts_master.csv;data/staging/processed/pr_all_awards_master.csv,weekly,fully_materialized,"USAspending API + bulk archive. No key required. Top recipients are PR government agencies (PRDOH, ADSEF, PRDE, PRHA) — no corporate parent_uei is expected for these entities."
usaspending_subawards,federal,True,none,scripts/download_subawards.py,data/staging/processed/pr_subawards_master.csv;data/staging/processed/execution/execution_chain_master.csv,weekly,fully_materialized,
fpds_report_builder,federal,False,none,scripts/download_grants.py,data/staging/processed/pr_fpds_report_builder.csv,quarterly,not_materialized,FPDS Report Builder FY2018-2024 ingestion. Supplements USAspending.
fsrs_subawards,federal,True,none,scripts/download_fsrs.py,data/staging/processed/pr_fsrs_subawards.csv,weekly,fully_materialized,FSRS prime-to-sub reporting. Joins with USAspending subaward stream.
sam_entities,entity_resolution,True,api_key:SAM_API_KEY,scripts/sam_enrichment.py,data/staging/processed/enrichment/vendor_uei_index.csv;data/staging/processed/entities_resolved.csv,monthly,not_materialized,"SAM full extract + per-UEI enrichment for parent resolution. Supplemented by scripts/usaspending_parent_uei_extract.py (no rate limit). SAM API rate: 1,000 req/day → full 2,334-UEI run = 2.3+ days."
highergov_supplemental,federal,False,api_key:HIGHERGOV_API_KEY,scripts/fetch_highergov_api.py,data/raw/HigherGov/;data/staging/processed/pr_highergov_supplement.csv,weekly,partially_materialized,Supplementary federal contract intel via HigherGov. PDFs require parse_highergov_pdfs.
eia_power_sector,federal,False,api_key:EIA_API_KEY,scripts/download_eia.py,data/staging/processed/pr_eia_power_sector.csv,monthly,fully_materialized,"EIA Open Data v2 power-sector time-series (net generation, capacity, consumption) for Puerto Rico, per registries/eia_series.yaml. Requires a free EIA_API_KEY (https://www.eia.gov/opendata/register.php). Supplements PREPA/LUMA operational monitoring."
fred_timeseries,federal,False,api_key:FRED_API_KEY,scripts/download_fred.py,data/staging/processed/pr_fred_timeseries.csv,monthly,fully_materialized,"FRED (St. Louis Fed) economic time-series for Puerto Rico indicators (employment, prices, income, etc.), per registries/fred_series.yaml. Requires a free FRED_API_KEY (https://fred.stlouisfed.org/docs/api/api_key.html). Cross-references territorial budgets and bond markets."
fema_pa_openfema_v2,federal,True,none,scripts/download_openfema_pa_projects.py,data/staging/processed/pr_fema_pa_master.csv,monthly,fully_materialized,Preferred FEMA PA route. OpenFEMA v2 PA projects API.
fema_hmgp,federal,False,none,scripts/download_fema.py,data/staging/processed/pr_fema_hmgp_master.csv,monthly,fully_materialized,
cor3,territorial,True,none,scripts/download_cor3.py,data/staging/processed/pr_cor3_projects.csv,quarterly,not_materialized,"PR Central Office for Recovery, Reconstruction and Resiliency project tracker."
hud_cdbg_dr_public,federal,True,none,scripts/download_cdbg_dr.py,data/staging/processed/pr_cdbg_dr_master.csv,quarterly,fully_materialized,
hud_drgr_authorized,manual_export,True,manual_export,scripts/ingest_hud_drgr_exports.py,data/staging/processed/hud_drgr_activities.csv;data/staging/processed/hud_drgr_projects.csv,monthly,not_materialized,Credentialed DRGR portal — operator must export and drop manifests in manual_drop_dir.
hud_hcv_section8,federal,False,none,scripts/download_hud_hcv.py,data/staging/processed/pr_hud_hcv.csv,yearly,fully_materialized,
prasa,infrastructure,True,manual_export,scripts/ingest_prasa.py,data/staging/processed/pr_prasa_contracts.csv,yearly,not_materialized,"PRASA aqueduct/sewer authority. ingest_prasa.py is a dropzone reader (CSV/Excel), not a live scraper - operator delivers exported procurement files to data/raw/PRASA/. Includes Consulting Engineer Report FY2024 baseline. The vendor-level master is now produced by the prasa_contracts_master source (scripts/build_prasa_contracts_master.py)."
prasa_contracts_master,infrastructure,False,none,scripts/build_prasa_contracts_master.py,data/staging/processed/prasa_contracts_master.csv,yearly,not_materialized,Vendor-level aggregation of pr_prasa_contracts.csv. Closes the previously-dangling prasa_contracts_master.csv output (declared with no producer). Derived source; runs after the prasa dropzone ingest.
prepa_luma_genera,infrastructure,False,none,scripts/download_prepa_contracts.py,data/staging/processed/pr_prepa_contracts.csv,quarterly,fully_materialized,PREPA / LUMA Energy / Genera PR contracts and operating data.
act_toll_revenue,infrastructure_revenue,False,manual_export,scripts/ingest_toll_revenue.py,data/staging/processed/pr_act_toll_revenue.csv,yearly,not_materialized,Aggregate toll revenue (ACT / AutoExpreso / Metropistas PR-22/PR-5) from ACT audited financials and EMMA toll-revenue-bond disclosures. Dropzone reader; pursue finer (per-plaza) breakdowns via FOIA.
ports_airports_revenue,infrastructure_revenue,False,manual_export,scripts/ingest_port_airport_revenue.py,data/staging/processed/pr_ports_airports_revenue.csv,yearly,not_materialized,Aggregate port/airport fee revenue (PR Ports Authority + Aerostar/SJU) from audited financials and EMMA disclosures.
transit_fare_revenue,infrastructure_revenue,False,manual_export,scripts/ingest_transit_fare_revenue.py,data/staging/processed/pr_transit_fare_revenue.csv,yearly,not_materialized,Aggregate transit farebox revenue (AMA buses + Tren Urbano / ATI) from audited financials and budgets.
prasa_rate_revenue,infrastructure_revenue,False,manual_export,scripts/ingest_utility_revenue.py,data/staging/processed/pr_prasa_rate_revenue.csv,yearly,not_materialized,"Aggregate PRASA water/sewer rate revenue from audited financials, rate-case filings, and EMMA disclosures. Shares scripts/ingest_utility_revenue.py with prepa_luma_rate_revenue."
prepa_luma_rate_revenue,infrastructure_revenue,False,manual_export,scripts/ingest_utility_revenue.py,data/staging/processed/pr_prepa_rate_revenue.csv,yearly,not_materialized,Aggregate PREPA/LUMA power rate revenue from audited financials and EMMA legacy revenue-bond disclosures. Shares scripts/ingest_utility_revenue.py with prasa_rate_revenue.
emma_infra_revenue,infrastructure_revenue,False,none,scripts/extract_emma_revenue.py,data/staging/processed/pr_emma_revenue_disclosures.csv,quarterly,not_materialized,MSRB EMMA continuing-disclosure revenue extraction (toll/water/power bond-pledged revenue). The one authentication-free automatable revenue spine; cross-checks the manual dropzone figures. PDF extraction is best-effort.
dtop_road_contracts,infrastructure,False,manual_export,scripts/ingest_dtop_road_contracts.py,data/staging/processed/pr_dtop_road_contracts.csv,quarterly,not_materialized,"DTOP/ACT permanent road construction & maintenance contracts (rolling, beyond the 2020 transition snapshot). OCPR registry agency code 032."
ports_airports_contracts,infrastructure,False,manual_export,scripts/ingest_port_airport_contracts.py,data/staging/processed/pr_ports_airports_contracts.csv,quarterly,not_materialized,PR Ports Authority / Aerostar contracts and capital projects. Also fed by scripts/parse_aaa_ports_pdf.py from the acquired completed_projects_AAA.pdf.
transit_contracts,infrastructure,False,manual_export,scripts/ingest_transit_contracts.py,data/staging/processed/pr_transit_contracts.csv,quarterly,not_materialized,AMA / Tren Urbano (ATI) operating and O&M contracts.
act_transition_contracts,manual_export,False,manual_export,scripts/ingest_act_transition.py,data/staging/processed/pr_act_transition_contracts.csv,ad_hoc,not_materialized,"PR ACT transition contract files (Autopistas, Ferrovial, LPC&D, etc.). Manual export."
acuden_2024_transition,manual_export,False,manual_export,scripts/ingest_act_transition.py,data/staging/processed/pr_acuden_transition.csv,ad_hoc,not_materialized,ACUDEN 2024 transition contract file. Transfer-of-funds contracts to municipalities/daycare/nonprofits.
dcaa_active_contractors,manual_export,False,manual_export,scripts/download_active_contractors.py,data/staging/processed/pr_active_contractors.csv,ad_hoc,not_materialized,DCAA FY2007/FY2012/FY2013 active contractor listings. Alias/crosswalk source.
oficina_contralor,territorial,True,manual_export,scripts/ingest_contralor.py,data/staging/processed/pr_contralor_audits.csv,monthly,not_materialized,PR Comptroller (OCPR) audit reports and findings on government entities and contractors. Operator delivers exported CSV/Excel to the dropzone. NOTE the OCPR contract registry (consultacontratos.ocpr.gov.pr) is a separate product still needing a dedicated scraper.
compras_pr,territorial,False,none,scripts/download_compras.py,data/staging/processed/pr_compras_rfps.csv;data/staging/processed/pr_compras_awards.csv,weekly,not_materialized,comprashpr.com RFP / award scrape.
aafaf,territorial,False,none,scripts/download_aafaf.py,data/staging/processed/pr_aafaf_budget.csv,monthly,fully_materialized,PR Fiscal Agency & Financial Advisory Authority. Budget execution.
hacienda,territorial,False,none,scripts/download_hacienda.py,data/staging/processed/pr_hacienda_revenues.csv,monthly,fully_materialized,
cofina,territorial,False,none,scripts/download_cofina.py,data/staging/processed/pr_cofina.csv,quarterly,fully_materialized,
promesa_creditors,territorial,False,none,scripts/download_promesa_creditors.py,data/staging/processed/pr_promesa_creditors.csv,ad_hoc,fully_materialized,
pr_act_60_decrees,territorial,False,none,scripts/download_act60.py,data/staging/processed/pr_act60_decrees.csv,yearly,fully_materialized,
p3_authority,territorial,False,none,scripts/download_p3.py,data/staging/processed/pr_p3_contracts.csv,quarterly,fully_materialized,
pr_pensions,territorial,False,none,scripts/download_pr_pensions.py,data/staging/processed/pr_pension_funds.csv,yearly,fully_materialized,
rum_cover_over,territorial,False,none,scripts/download_rum_coverover.py,data/staging/processed/pr_rum_coverover.csv,yearly,fully_materialized,
