path,type,lines,purpose,test_count,category,note
contract_sweeper/__init__.py,module,7,Contract Sweeper shared package,,KEEP,test file
contract_sweeper/pipeline/__init__.py,module,1,Pipeline orchestration utilities,,KEEP,package init
contract_sweeper/pipeline/acquisition_package.py,module,261,Manual acquisition package builders for R4,,ARCHIVE,R4 utility — phase complete; preserve for reference
contract_sweeper/pipeline/backfill_failure_remediation.py,module,710,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/backfill_readiness_audit.py,module,574,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/backfill_runner.py,module,526,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/completion_gate.py,module,114,Classification and gate helpers for R4,,MERGE,merge → pipeline/gate_helpers.py
contract_sweeper/pipeline/controlled_backfill.py,module,489,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/controlled_backfill_execution.py,module,810,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/credential_unblock_plan.py,module,126,Credential and endpoint unblock planning for R4,,MERGE,merge → pipeline/credential_utils.py
contract_sweeper/pipeline/credentialed_endpoint_execution.py,module,547,Credential-aware endpoint and producer retry utilities for R4,,MERGE,merge → pipeline/credential_utils.py
contract_sweeper/pipeline/delivered_source_validation.py,module,196,Validation helpers for R4,,ARCHIVE,R4 utility — phase complete; preserve for reference
contract_sweeper/pipeline/endpoint_patch_retry.py,module,229,Endpoint follow-up patch retry support for R4,,MERGE,merge → pipeline/endpoint_retry_utils.py
contract_sweeper/pipeline/endpoint_resolution.py,module,157,Endpoint failure classification and light probe support for R4,,MERGE,merge → pipeline/endpoint_retry_utils.py
contract_sweeper/pipeline/external_acquisition_blocker_package.py,module,182,External acquisition blocker packaging for R4,,MERGE,merge → pipeline/endpoint_retry_utils.py
contract_sweeper/pipeline/external_blocker_freeze.py,module,431,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/external_source_delivery_gate.py,module,611,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/final_backfill_retry.py,module,739,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/final_source_recovery_pass.py,module,703,R4,,ARCHIVE,R4 backfill phase (complete) — archive
contract_sweeper/pipeline/import_slots.py,module,67,Manual import slot builders for R4,,MERGE,merge → pipeline/manual_import_utils.py
contract_sweeper/pipeline/manual_fallback_package.py,module,199,Manual fallback package generation for R4,,MERGE,merge → pipeline/manual_import_utils.py
contract_sweeper/pipeline/manual_fulfillment_execution.py,module,60,Manual file fulfillment execution utilities for R4,,MERGE,merge → pipeline/manual_import_utils.py
contract_sweeper/pipeline/manual_import_dropzone.py,module,459,Manual import dropzone execution support for R4,,ARCHIVE,R4 utility — phase complete; preserve for reference
contract_sweeper/pipeline/manual_import_validation.py,module,224,Manual import slot generation and validation for controlled backfill,,MERGE,merge → pipeline/manual_import_utils.py
